Date,KBP1424D,KBP1425D,KBP1437D,KBP1438D,KBP1440D,KBP1456D,KBP1457D,KBP1481D,KBP1482D,KBP1484D
1998-12-30,,,7200,,,,,0,0,
1998-12-31,,,6300,,,,,0,0,
1999-01-01,,,0,,,,,0,0,
1999-01-02,,,0,,,,,0,0,
1999-01-04,,,6000,,,,,0,7,
1999-01-05,,,5300,,,,,0,0,
1999-01-06,,,5100,,,,,0,0,
1999-01-07,,,5100,,,,,0,0,
1999-01-08,,,5400,,,,,0,4,
1999-01-09,,,0,,,,,-1,0,
1999-01-11,,,5500,,,,,0,0,
1999-01-12,,,5400,,,,,0,0,
1999-01-13,,,5100,,,,,0,0,
1999-01-14,,,5400,,,,,0,0,
1999-01-15,,,5500,,,,,-4,0,
1999-01-16,,,0,,,,,0,0,
1999-01-18,,,5500,,,,,0,0,
1999-01-19,,,5600,,,,,-15,0,
1999-01-20,,,5400,,,,,-7,0,
1999-01-21,,,5000,,,,,-1,0,
1999-01-22,,,5000,,,,,-1,0,
1999-01-23,,,0,,,,,-2,0,
1999-01-25,,,5100,,,,,-1,0,
1999-01-26,,,5100,,,,,-16,0,
1999-01-27,,,5000,,,,,0,0,
1999-01-28,,,4500,,,,,-1,0,
1999-01-29,,,4000,,,,,-8,0,
1999-01-30,,,0,,,,,0,0,
1999-02-01,,,4400,,,,,-2,0,
1999-02-02,,,5000,,,,,0,5,
1999-02-03,,,6000,,,,,0,0,
1999-02-04,,,5700,,,,,0,0,
1999-02-05,,,5400,,,,,0,0,
1999-02-06,,,0,,,,,-2,0,
1999-02-08,,,5100,,,,,0,0,
1999-02-09,,,4900,,,,,0,0,
1999-02-10,,,4900,,,,,0,0,
1999-02-11,,,4600,,,,,-2,0,
1999-02-12,,,4000,,,,,0,0,
1999-02-13,,,0,,,,,0,0,
1999-02-15,,,4000,,,,,0,0,
1999-02-16,,,4200,,,,,0,0,
1999-02-17,,,4500,,,,,0,0,
1999-02-18,,,4300,,,,,0,0,
1999-02-19,,,4900,,,,,-5,0,
1999-02-20,,,0,,,,,0,0,
1999-02-22,,,5100,,,,,0,0,
1999-02-23,,,4600,,,,,0,0,
1999-02-24,,,4400,,,,,0,0,
1999-02-25,,,4300,,,,,0,0,
1999-02-26,,,4100,,,,,-1,0,
1999-02-27,,,0,,,,,-1,0,
1999-03-01,,,4700,,,,,-8,0,
1999-03-02,,,4900,,,,,-1,0,
1999-03-03,,,5000,,,,,0,0,
1999-03-04,,,4500,,,,,-1,0,
1999-03-05,,,4400,,,,,0,0,
1999-03-06,,,0,,,,,0,0,
1999-03-08,,,4100,,,,,0,0,
1999-03-09,,,4000,,,,,0,0,
1999-03-10,,,4200,,,,,0,0,
1999-03-11,,,4000,,,,,0,0,
1999-03-12,,,4000,,,,,-1,0,
1999-03-13,,,0,,,,,-1,0,
1999-03-15,,,4100,,,,,-1,0,
1999-03-16,,,4000,,,,,0,0,
1999-03-17,,,3700,,,,,0,0,
1999-03-18,,,4000,,,,,-6,0,
1999-03-19,,,4100,,,,,-6,0,
1999-03-20,,,0,,,,,0,0,
1999-03-22,,,0,,,,,0,0,
